Feature,Value,,,Feature,Value
duration_updated,37%,,,duration_updated,37%
balance_updated,8%,,,balance_updated,8%
age_updated,7%,,,age_updated,7%
poutcome_success,6%,,,poutcome_success,6%
previous,4%,,,previous,4%
campaign_updated,3%,,,campaign_updated,3%
housing_yes,3%,,,housing_yes,3%
contact_unknown,2%,,,contact_unknown,2%
month_oct,2%,,,month_oct,2%
month_mar,2%,,,month_mar,2%
contact_cellular,2%,,,Other,24%
month_jun,2%,,,,
month_apr,1%,,,,
month_may,1%,,,,
month_sep,1%,,,,
loan_yes,1%,,,,
month_aug,1%,,,,
poutcome_failure,1%,,,,
education_tertiary,1%,,,,
month_jul,1%,,,,
marital_married,1%,,,,
education_secondary,1%,,,,
job_blue-collar,1%,,,,
month_nov,1%,,,,
marital_single,1%,,,,
job_management,1%,,,,
job_technician,1%,,,,
job_admin.,1%,,,,
month_feb,1%,,,,
education_primary,1%,,,,
marital_divorced,1%,,,,
job_retired,1%,,,,
job_services,0%,,,,
job_student,0%,,,,
contact_telephone,0%,,,,
month_jan,0%,,,,
education_unknown,0%,,,,
job_self-employed,0%,,,,
job_unemployed,0%,,,,
job_entrepreneur,0%,,,,
month_dec,0%,,,,
job_housemaid,0%,,,,
default_yes,0%,,,,
job_unknown,0%,,,,
